status,product,area,update_dt,product_time,affiliation,factory_name,source,datadate
停工,30,华南,2018-05-31 15:20:54,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28158086.html,2018-05-10
检修,70,华东,2018-05-31 15:20:54,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28158086.html,2018-05-10
产沥青,70,华东,2018-05-31 15:20:54,7号已恢复沥青生产,中石化,上海石化,http://oil.chem99.com/news/28158086.html,2018-05-10
产渣油,100,华北,2018-05-31 15:20:54,预计13号恢复生产,地炼,鑫海石化,http://oil.chem99.com/news/28158086.html,2018-05-10
扩产能,70,华北,2018-05-31 15:20:54,1月-6月,中石油,中油秦皇岛,http://oil.chem99.com/news/28158086.html,2018-05-10
开工,50,西北,2018-05-31 15:20:54,开工推迟至20号左右，暂未生产沥青,中石化,塔河炼化,http://oil.chem99.com/news/28158086.html,2018-05-10
检修,100,东北,2018-05-31 15:20:54,时间待定，为期一个月,地炼,盘锦北沥,http://oil.chem99.com/news/28158086.html,2018-05-10
停工,30,山东,2018-05-31 15:20:59,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,170,山东,2018-05-31 15:20:59,5月16日起转产渣油,地炼,东明石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产沥青,110,山东,2018-05-31 15:20:59,5月14日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,160,山东,2018-05-31 15:20:59,沥青停产，持续时间不定,地炼,京博石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,160,山东,2018-05-31 15:20:59,沥青生产计划推迟,地炼,中化弘润,http://oil.chem99.com/news/28224826.html,2018-05-17
未产,60,山东,2018-05-31 15:20:59,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28224826.html,2018-05-17
停工,30,华南,2018-05-31 15:20:59,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,60,华南,2018-05-31 15:20:59,5月14日起装置检修,地炼,华峰,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,70,华东,2018-05-31 15:20:59,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,70,华东,2018-05-31 15:20:59,预计5月20日生产沥青,中石化,上海石化,http://oil.chem99.com/news/28224826.html,2018-05-17
产渣油,160,华东,2018-05-31 15:20:59,15日起沥青停产，复产时间不定,中石化,镇海炼化,http://oil.chem99.com/news/28224826.html,2018-05-17
停产,80,华东,2018-05-31 15:20:59,月底计划停工,地炼,金海宏业,http://oil.chem99.com/news/28224826.html,2018-05-17
产沥青,100,华北,2018-05-31 15:20:59,5月17日起正常销售,地炼,鑫海石化,http://oil.chem99.com/news/28224826.html,2018-05-17
扩产能,70,华北,2018-05-31 15:20:59,1月-8月,中石油,中油秦皇岛,http://oil.chem99.com/news/28224826.html,2018-05-17
开工,50,西北,2018-05-31 15:20:59,开工推迟至20号左右，暂未生产沥青,中石化,塔河炼化,http://oil.chem99.com/news/28224826.html,2018-05-17
检修,100,东北,2018-05-31 15:20:59,5月25日起检修，为期半个月,地炼,盘锦北沥,http://oil.chem99.com/news/28224826.html,2018-05-17
停工,30,山东,2018-05-31 15:21:04,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28293643.html,2018-05-24
产渣油,170,山东,2018-05-31 15:21:04,5月26日起转产沥青,地炼,东明石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,110,山东,2018-05-31 15:21:04,5月14日起转产沥青,地炼,滨阳燃化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,山东,2018-05-31 15:21:04,周初恢复生产,地炼,京博石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,山东,2018-05-31 15:21:04,5月中旬起恢复生产,地炼,中化弘润,http://oil.chem99.com/news/28293643.html,2018-05-24
未产,60,山东,2018-05-31 15:21:04,开工时间待定,地炼,岚桥石化,http://oil.chem99.com/news/28293643.html,2018-05-24
沥青停产,30,山东,2018-05-31 15:21:04,5月26日至6月12日,中石化,青岛炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
停工,30,华南,2018-05-31 15:21:04,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,60,华南,2018-05-31 15:21:04,5月14日起装置检修,地炼,华峰,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,70,华东,2018-05-31 15:21:04,1月26日至6月检修,中石油,中油温州,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,70,华东,2018-05-31 15:21:04,恢复沥青生产,中石化,上海石化,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,160,华东,2018-05-31 15:21:04,恢复沥青生产,中石化,镇海炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
停产,80,华东,2018-05-31 15:21:04,月底计划停工,地炼,金海宏业,http://oil.chem99.com/news/28293643.html,2018-05-24
产沥青,100,华北,2018-05-31 15:21:04,5月17日起正常销售,地炼,鑫海石化,http://oil.chem99.com/news/28293643.html,2018-05-24
扩产能,70,华北,2018-05-31 15:21:04,1月-8月,中石油,中油秦皇岛,http://oil.chem99.com/news/28293643.html,2018-05-24
开工,50,西北,2018-05-31 15:21:04,恢复沥青生产,中石化,塔河炼化,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,110,西北,2018-05-31 15:21:04,8月2日至9月20日,中石油,克拉玛依,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,100,东北,2018-05-31 15:21:04,5月25日起检修，为期20天,地炼,盘锦北沥,http://oil.chem99.com/news/28293643.html,2018-05-24
检修,60,东北,2018-05-31 15:21:04,6月计划检修，为期10天,中海油,中海油营口,http://oil.chem99.com/news/28293643.html,2018-05-24
停工,30,山东,2018-05-31 15:21:09,1月初-待定,地炼,东营东明,http://oil.chem99.com/news/28361360.html,
产渣油,170,山东,2018-05-31 15:21:09,5月30日起转渣油，计划6月10日转沥青,地炼,东明石化,http://oil.chem99.com/news/28361360.html,
产沥青,110,山东,2018-05-31 15:21:09,6月中下旬装置检修,地炼,滨阳燃化,http://oil.chem99.com/news/28361360.html,
产沥青,160,山东,2018-05-31 15:21:09,5月下旬起恢复生产,地炼,京博石化,http://oil.chem99.com/news/28361360.html,
产沥青,160,山东,2018-05-31 15:21:09,5月中旬起恢复生产,地炼,中化弘润,http://oil.chem99.com/news/28361360.html,
产沥青,60,山东,2018-05-31 15:21:09,6月沥青计划量3万吨,地炼,岚桥石化,http://oil.chem99.com/news/28361360.html,
沥青停产,30,山东,2018-05-31 15:21:09,5月26日至6月12日,中石化,青岛炼化,http://oil.chem99.com/news/28361360.html,
停工,30,华南,2018-05-31 15:21:09,1月上旬-待定,地炼,海盛达,http://oil.chem99.com/news/28361360.html,
检修,60,华南,2018-05-31 15:21:09,5月14日起装置检修，计划6月10日开工,地炼,华峰,http://oil.chem99.com/news/28361360.html,
