pre_cumu_value_y,cumu_value_y,mom,update_dt,item_name,cls_type,source,pre_year_value,cumu_yoy,datemonth,yoy,datadate,curr_month_value,pre_month_value
697.85,730.04,12.21%,2018-06-08 20:32:31,总计,集团,http://oil.chem99.com/news/28156648.html,191.53,4.61%,2018年4月,9.75%,2018-05-10,210.21,187.33
124.4,138.37,15.47%,2018-06-08 20:32:39,东北,地区,http://oil.chem99.com/news/28156799.html,38.1,11.23%,2018年4月,2.65%,2018-05-10,39.11,33.87
34,20.37,20.92%,2018-06-08 20:32:39,华北,地区,http://oil.chem99.com/news/28156799.html,9.7,-40.09%,2018年4月,-23.71%,2018-05-10,7.4,6.12
181.63,199.96,3.16%,2018-06-08 20:32:39,华东,地区,http://oil.chem99.com/news/28156799.html,51.03,10.09%,2018年4月,7.98%,2018-05-10,55.1,53.41
112.8,130.06,7.80%,2018-06-08 20:32:39,华南,地区,http://oil.chem99.com/news/28156799.html,25.3,15.30%,2018年4月,45.85%,2018-05-10,36.9,34.23
8.08,4.82,-0.90%,2018-06-08 20:32:39,华中,地区,http://oil.chem99.com/news/28156799.html,3.1,-40.35%,2018年4月,-64.52%,2018-05-10,1.1,1.11
190.3,191.97,27.49%,2018-06-08 20:32:39,山东,地区,http://oil.chem99.com/news/28156799.html,47.8,0.88%,2018年4月,21.76%,2018-05-10,58.2,45.65
35.94,44.49,-15.77%,2018-06-08 20:32:39,西北,地区,http://oil.chem99.com/news/28156799.html,12.1,23.79%,2018年4月,-9.92%,2018-05-10,10.9,12.94
10.7,3,#DIV/0!,2018-06-08 20:32:39,西南,地区,http://oil.chem99.com/news/28156799.html,4.4,-71.96%,2018年4月,-65.91%,2018-05-10,1.5,0
697.85,730.04,12.21%,2018-06-08 20:32:39,总计,地区,http://oil.chem99.com/news/28156799.html,191.53,4.61%,2018年4月,9.75%,2018-05-10,210.21,187.33
239.94,246.57,18.16%,2018-06-08 20:32:39,中石油,集团,http://oil.chem99.com/news/28442268.html,63.04,2.76%,2018年5月,4.05%,2018-06-08,65.59,55.51
318.42,299.36,-1.11%,2018-06-08 20:32:39,中石化,集团,http://oil.chem99.com/news/28442268.html,63.8,-5.99%,2018年5月,-2.35%,2018-06-08,62.3,63
75.18,106.5,19.82%,2018-06-08 20:32:39,中海油,集团,http://oil.chem99.com/news/28442268.html,16.45,41.66%,2018年5月,58.05%,2018-06-08,26,21.7
273.65,307.4,4.14%,2018-06-08 20:32:39,地方炼厂,集团,http://oil.chem99.com/news/28442268.html,66.05,12.33%,2018年5月,10.37%,2018-06-08,72.9,70
907.19,959.83,7.89%,2018-06-08 20:32:39,总计,集团,http://oil.chem99.com/news/28442268.html,209.34,5.80%,2018年5月,8.34%,2018-06-08,226.79,210.21
165.02,168,-25.27%,2018-06-08 20:32:45,华北,地区,http://oil.chem99.com/news/27107444.html,10.25,1.81%,2017年12月,0.98%,2018-01-11,10.35,13.85
346.66,443.36,-15.23%,2018-06-08 20:32:45,东北,地区,http://oil.chem99.com/news/27107444.html,23,27.89%,2017年12月,33.61%,2018-01-11,30.73,36.25
643.35,704.99,-16.28%,2018-06-08 20:32:45,山东,地区,http://oil.chem99.com/news/27107444.html,50.9,9.58%,2017年12月,12.67%,2018-01-11,57.35,68.5
655.93,680.63,-3.81%,2018-06-08 20:32:45,华东,地区,http://oil.chem99.com/news/27107444.html,60.9,3.77%,2017年12月,3.61%,2018-01-11,63.1,65.6
17.35,24.96,300.00%,2018-06-08 20:32:45,华中,地区,http://oil.chem99.com/news/27107444.html,0.49,43.86%,2017年12月,634.69%,2018-01-11,3.6,0.9
388.47,369.9,-13.44%,2018-06-08 20:32:45,华南,地区,http://oil.chem99.com/news/27107444.html,34.3,-4.78%,2017年12月,-6.12%,2018-01-11,32.2,37.2
31.62,34.3,28.00%,2018-06-08 20:32:45,西南,地区,http://oil.chem99.com/news/27107444.html,3,8.48%,2017年12月,6.67%,2018-01-11,3.2,2.5
159.55,140.84,-6.25%,2018-06-08 20:32:45,西北,地区,http://oil.chem99.com/news/27107444.html,8.34,-11.73%,2017年12月,43.88%,2018-01-11,12,12.8
38.5,42.04,-29.14%,2018-06-08 20:32:49,中石油,集团,http://oil.chem99.com/news/27390406.html,38.5,9.19%,2018年1月,9.19%,2018-02-09,42.04,59.33
61.54,60.66,-4.09%,2018-06-08 20:32:49,中石化,集团,http://oil.chem99.com/news/27390406.html,61.54,-1.43%,2018年1月,-1.43%,2018-02-09,60.66,63.25
13.8,21.6,-3.14%,2018-06-08 20:32:49,中海油,集团,http://oil.chem99.com/news/27390406.html,13.8,56.52%,2018年1月,56.52%,2018-02-09,21.6,22.3
43.7,57.9,-14.41%,2018-06-08 20:32:49,地方炼厂,集团,http://oil.chem99.com/news/27390406.html,43.7,32.49%,2018年1月,32.49%,2018-02-09,57.9,67.65
24.6,34.74,13.05%,2018-06-08 20:32:56,东北,地区,http://oil.chem99.com/news/27390421.html,24.6,41.22%,2018年1月,41.22%,2018-02-09,34.74,30.73
7.8,4,-61.35%,2018-06-08 20:32:56,华北,地区,http://oil.chem99.com/news/27390421.html,7.8,-48.72%,2018年1月,-48.72%,2018-02-09,4,10.35
41.2,49.49,-21.57%,2018-06-08 20:32:56,华东,地区,http://oil.chem99.com/news/27390421.html,41.2,20.12%,2018年1月,20.12%,2018-02-09,49.49,63.1
29.2,31.67,-1.65%,2018-06-08 20:32:56,华南,地区,http://oil.chem99.com/news/27390421.html,29.2,8.46%,2018年1月,8.46%,2018-02-09,31.67,32.2
1.3,1.7,-52.78%,2018-06-08 20:32:56,华中,地区,http://oil.chem99.com/news/27390421.html,1.3,30.77%,2018年1月,30.77%,2018-02-09,1.7,3.6
45.3,47.65,-16.91%,2018-06-08 20:32:56,山东,地区,http://oil.chem99.com/news/27390421.html,45.3,5.19%,2018年1月,5.19%,2018-02-09,47.65,57.35
6.34,11.45,-4.58%,2018-06-08 20:32:56,西北,地区,http://oil.chem99.com/news/27390421.html,6.34,80.60%,2018年1月,80.60%,2018-02-09,11.45,12
1.8,1.5,-53.13%,2018-06-08 20:32:56,西南,地区,http://oil.chem99.com/news/27390421.html,1.8,-16.67%,2018年1月,-16.67%,2018-02-09,1.5,3.2
77.4,77.09,-16.63%,2018-06-08 20:33:01,中石油,集团,http://oil.chem99.com/news/27566944.html,38.9,-0.40%,2018年2月,-9.90%,2018-03-09,35.05,42.04
120.52,115.81,-9.08%,2018-06-08 20:33:01,中石化,集团,http://oil.chem99.com/news/27566944.html,58.98,-3.91%,2018年2月,-6.49%,2018-03-09,55.15,60.66
27.4,38.4,-22.22%,2018-06-08 20:33:01,中海油,集团,http://oil.chem99.com/news/27566944.html,13.6,40.15%,2018年2月,23.53%,2018-03-09,16.8,21.6
97.7,104.2,-20.03%,2018-06-08 20:33:01,地方炼厂,集团,http://oil.chem99.com/news/27566944.html,54,6.65%,2018年2月,-14.26%,2018-03-09,46.3,57.9
